"year","month.name","month.number","region","site","lat","long","plot","stems","lngth.median","mass","stems.dead","lngth.median.dead","mass.dead","litter","live.bg.gm2","dead.bg.gm2","tot.bg.gm2","dist","temp.soil","ph.soil","bulk.density.g.cm3.soil","grav.water.content.soil","om.soil","c.soil","tn.soil","tp.ppm.soil","extractable.no3.mmol.gdw.soil","extractable.nh4.mmol.gdw.soil","extractable.po4.mmol.gdw.soil","porewater.salinity.soil","redox.soil","water.temp.bay","salinity.psu.bay","sp.cond.bay","dissolved.no3.no2.bay","dissolved.nh4.bay","dissolved.po4.bay","dissolved.sio2.bay","water.depth.cm.","water.temp","salinity.psu.","sp.cond","dissolved.no3.no2","dissolved.nh4","dissolved.po4","dissolved.sio2"
2013,"May",5,"Bay LaFleur","TB1",29.29316111,-90.60505,"A",224,49.75,294.4,144,38,92.8,6.592,NA,NA,2440.57636741296,20,NA,NA,0.556902017,74.4300965,10.28258888,8.051512937,0.641228162,467.8402215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Bay LaFleur","TB1",29.29316111,-90.60505,"B",96,64,254.789007585489,144,13,26.3560483982894,14.272,NA,NA,2472.40067025343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Bay LaFleur","TB1",29.29316111,-90.60505,"C",160,79,616.620087485071,176,20,47.9791818882679,19.584,NA,NA,3337.5403315049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Bay LaFleur","TB2",29.29139722,-90.60300556,"A",384,56,763.2,256,44.75,257.6,60.08,NA,NA,5740.14148040234,20,NA,NA,0.316633076,76.57340849,12.22958057,9.932716866,0.750079368,570.3010451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Bay LaFleur","TB2",29.29139722,-90.60300556,"B",160,73.5,533.439392289982,272,53,342.484355647672,99.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Bay LaFleur","TB2",29.29139722,-90.60300556,"C",240,45,280.741676517303,208,26,246.121864100579,12.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB3",29.30445,-90.56475833,"A",304,46,368,400,26.5,377.6,75.664,NA,NA,3994.88601538623,20,NA,NA,0.428223091,64.19395525,10.37181996,7.176039883,1.211278322,464.1020522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB3",29.30445,-90.56475833,"B",208,53,299.198823942794,368,26,209.312798461378,87.904,NA,NA,4173.5567441906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB3",29.30445,-90.56475833,"C",288,50,336.036400229371,496,17,206.798905667027,38.528,NA,NA,4286.3859321603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB4",29.29659167,-90.54983333,"A",208,89,443.2,272,71,555.2,48.368,NA,NA,4131.81074693515,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB4",29.29659167,-90.54983333,"B",144,98,547.275599922241,224,97.5,873.958896090004,70.56,NA,NA,1797.13710157956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"Lake Barre","TB4",29.29659167,-90.54983333,"C",208,92,780.471320787911,272,85,955.823049905213,36.496,NA,NA,4324.89601290843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"LUMCON","LUM1",29.2554,-90.66486111,"A",272,70,728,480,56,537.6,54.4,NA,NA,3625.56364376698,20,NA,NA,0.459328153,68.28735457,10.71771868,6.50303632,0.44031708,451.8482836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"LUMCON","LUM1",29.2554,-90.66486111,"B",224,68.5,498.579624259125,304,55,692.013502810977,52.8,NA,NA,4128.06671130686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"LUMCON","LUM1",29.2554,-90.66486111,"C",240,60,403.205383839101,400,41,734.746291370721,51.2,NA,NA,3371.23665215952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"May",5,"LUMCON","LUM2",29.25602222,-90.6681,"A",464,74,1502.4,448,61.5,710.4,17.6,NA,NA,3305.44859754812,20,NA,NA,0.348021428,74.36269119,13.72587249,5.68052882,0.502439676,451.6815253,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10,NA,3,NA,NA,NA,NA,NA
2013,"May",5,"LUMCON","LUM2",29.25602222,-90.6681,"B",320,61,485.717463878311,464,19,318.633158034691,28.8,NA,NA,2027.12786160314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
